,GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,fire_per_tract,total_males,total_females,total_pop,pop_above_25,educ_pop_above_25_HS_or_above,educ_pop_above_25_bach_or_above,med_income_past_12_month,num_HH,total_fam_HH_householder,total_nonfam_HH_householder,total_pop_over16,total_pop_over16_labor_force,total_pop_over16_NOT_labor_force,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,av_HH_size_total,av_HH_size_owner,av_HH_size_renter,med_yr_built,med_rent,med_house_value_owner,male_per_HH,female_per_HH,educ_HS_per_HH,educ_bach_per_HH,med_pop_per_HH,famHH_per_HH,non-famHH_per_HH,pop_over16_per_HH,pop_over16_labor_force_per_HH,pop_over16_NOT_labor_force_per_HH,occupied_HH_per_total_housing_units,vacancy_per_total_housing_unit,prediction,fire_score
1,G1700310231500,2011-2015,Illinois,17,Cook County,31,231500,"Census Tract 2315, Cook County, Illinois",156,3554,3473,7027,3883,2542,203,-0.915163723,1921,1301,620,4949,2392,2557,2474,1921,553,3.6,0.684644238,1.629314639,-0.686594065,-0.245851948,-0.363019753,0.500190934,0.873006369,-0.342347131,-1.140700678,0.683485462,0.550090111,-0.550090111,2.576262363,-0.520270775,0.506404084,-0.946604641,0.946604641,45.51872645,0.023695329
2,G1700310431400,2011-2015,Illinois,17,Cook County,31,431400,"Census Tract 4314, Cook County, Illinois",152,2480,3666,6146,4733,4078,648,-1.073264844,3241,974,2267,5278,2918,2360,4045,3241,804,1.74,-1.642382178,-1.179547286,0.043755118,-0.545476373,-1.212284799,-0.641674491,-0.769311608,-0.495682898,-0.900380083,-0.758540522,-1.675167029,1.675167029,1.628509719,-1.553528582,-0.086949573,-0.671874363,0.671874363,60.03723555,0.018524294
3,G1700310231200,2011-2015,Illinois,17,Cook County,31,231200,"Census Tract 2312, Cook County, Illinois",134,2711,2658,5369,3000,1828,228,-0.937900421,1632,1198,434,3806,2250,1556,2260,1632,628,3.28,0.233342145,1.126234891,-0.686594065,-0.336436076,-0.645342998,0.301341496,0.43806067,-0.821515825,-1.053938847,0.382122683,0.885698924,-0.885698924,2.332107843,-0.120290635,0.134742025,-1.549655397,1.549655397,40.16313853,0.024609766
4,G1700310330100,2011-2015,Illinois,17,Cook County,31,330100,"Census Tract 3301, Cook County, Illinois",130,8910,9025,17935,13853,13162,9993,1.265674018,10143,3655,6488,15300,12810,2490,11894,10143,1751,1.75,-1.444937513,-1.277368348,3.56271027,2.429863853,0.856555456,-0.522484046,-1.355001887,-0.402783419,1.101624849,-0.863409298,-1.32180638,1.32180638,1.508429459,-0.467071119,-0.561981895,-0.099942061,0.099942061,32.9693952,0.003250458
5,G1700310530200,2011-2015,Illinois,17,Cook County,31,530200,"Census Tract 5302, Cook County, Illinois",125,2255,2420,4675,2800,2138,220,-0.913768602,1319,871,448,3385,1846,1539,1988,1319,669,3.54,0.585921906,1.615340202,-0.686594065,0.276748795,-0.963626114,0.352364264,0.938066995,0.359658973,-0.984881868,0.590465269,0.450249044,-0.450249044,2.566338135,-0.057762081,0.344722776,-2.20032269,2.20032269,53.97283939,0.040919514
6,G1700310530501,2011-2015,Illinois,17,Cook County,31,530501,"Census Tract 5305.01, Cook County, Illinois",118,2045,2650,4695,2960,2565,531,-0.353608751,1585,984,601,3485,1777,1708,2088,1585,503,2.92,0.120516622,0.441487457,-0.686594065,-0.541992368,-1.064619795,-0.089072746,0.543008588,0.353459995,-0.55600848,0.113894287,0.216761046,-0.216761046,2.19873817,-0.891958367,0.256945576,-1.139395179,1.139395179,48.88122423,0.030839889
7,G1700310252102,2011-2015,Illinois,17,Cook County,31,252102,"Census Tract 2521.02, Cook County, Illinois",121,2686,3672,6358,3923,2996,373,-0.669056874,2085,1339,746,4726,2580,2146,2435,2085,350,3.05,0.656437858,0.441487457,-0.686594065,-0.231915928,-0.517570689,-0.091147715,0.759532009,-0.074282673,-0.954023841,0.185318026,0.343084521,-0.343084521,2.266666667,-0.543566137,0.20936573,-0.061330999,0.061330999,41.90582039,0.020098715
8,G1700310430101,2011-2015,Illinois,17,Cook County,31,430101,"Census Tract 4301.01, Cook County, Illinois",120,1471,2584,4055,2397,2197,500,-0.798840813,1645,849,796,3178,1961,1217,2190,1645,545,2.47,-0.048721663,-0.271208852,-0.620198685,-0.301596027,0.207747566,-0.505868266,0.297664088,-0.313354293,-0.63520524,-0.293011399,-0.401746367,0.401746367,1.931914894,-0.67933658,-0.075486824,-1.227693035,1.227693035,44.79999224,0.027234038
9,G1700310839100,2011-2015,Illinois,17,Cook County,31,839100,"Census Tract 8391, Cook County, Illinois",103,3169,2535,5704,3842,3596,2738,1.094752868,2743,676,2067,5355,3723,1632,3374,2743,631,1.6,-1.600072607,-1.459036034,2.102011905,2.562256041,0.671400374,-0.231075619,-1.271538202,-0.371346018,1.134680097,-0.608623967,-1.994602007,1.994602007,1.952242071,-0.184421525,-0.218040189,-0.541553079,0.541553079,39.21721799,0.014297199
10,G1700310491000,2011-2015,Illinois,17,Cook County,31,491000,"Census Tract 4910, Cook County, Illinois",108,2261,2524,4785,2600,1949,252,-0.976209684,1220,929,291,3401,1813,1588,1810,1220,590,3.92,0.966708047,2.369959823,-0.686594065,0.2802328,-1.230647286,0.50355965,1.506219816,0.304509094,-0.883505137,0.899700274,1.047585795,-1.047585795,2.787704918,0.201478568,0.477432338,-2.083241163,2.083241163,52.39860318,0.042949675
11,G1700310834300,2011-2015,Illinois,17,Cook County,31,834300,"Census Tract 8343, Cook County, Illinois",105,2686,3302,5988,4298,3821,940,-0.4512295,2370,1386,984,5127,2734,2393,2824,2370,454,2.52,0.064103861,-0.969930724,-0.421012544,-0.886908858,-0.633866443,-0.254200724,-0.133242791,0.33916722,-0.398940948,-0.242639942,0.004056174,-0.004056174,2.163291139,-0.794726114,0.190123594,-0.250260118,0.250260118,36.03606396,0.01520509
12,G1700310842600,2011-2015,Illinois,17,Cook County,31,842600,"Census Tract 8426, Cook County, Illinois",104,2583,2269,4852,3287,2517,557,0.387615156,1430,1118,312,3766,2581,1185,1670,1430,240,3.39,1.07953357,0.748925081,-0.686594065,-0.075135705,-0.302576565,0.454106788,0.336230129,0.687990279,-0.417077603,0.466580507,1.167746841,-1.167746841,2.633566434,1.156785215,0.011958912,-0.061058153,0.061058153,24.63698666,0.017228662
13,G1700310420700,2011-2015,Illinois,17,Cook County,31,420700,"Census Tract 4207, Cook County, Illinois",103,1667,1838,3505,2044,1529,211,-1.054110212,1249,695,554,2600,1148,1452,1813,1249,564,2.8,-1.247492847,0.637129581,-0.686594065,-0.029843641,-1.238298323,-0.042291265,0.056833703,-0.57604536,-0.979420659,-0.013719281,-0.163490539,0.163490539,2.081665332,-1.49721054,0.340527326,-1.918138881,1.918138881,64.40126938,0.051562265
14,G1700310290900,2011-2015,Illinois,17,Cook County,31,290900,"Census Tract 2909, Cook County, Illinois",102,1730,2039,3769,1966,1463,260,-1.087517699,1234,765,469,2576,1272,1304,1801,1234,567,3.05,-0.556436517,1.070337142,-0.686594065,-0.900844878,-0.949854249,0.028519618,0.495508563,-0.66709088,-0.872951628,0.189324463,0.2115334,-0.2115334,2.087520259,-1.162647904,0.236399951,-1.959619012,1.959619012,55.13115629,0.044676788
15,G1700310450300,2011-2015,Illinois,17,Cook County,31,450300,"Census Tract 4503, Cook County, Illinois",102,1594,2231,3825,2766,2434,621,-0.234910365,1420,950,470,3181,1779,1402,1607,1420,187,2.69,-0.203856757,0.134049833,-0.487407924,-0.005455606,-0.623920096,-0.265566016,0.29840687,0.57937107,-0.295180189,-0.105875219,0.501433604,-0.501433604,2.240140845,-0.497402766,0.168097538,0.242363994,-0.242363994,36.0767916,0.025406191
16,G1700310431302,2011-2015,Illinois,17,Cook County,31,431302,"Census Tract 4313.02, Cook County, Illinois",101,1779,2172,3951,2272,1808,350,-0.960448589,1506,834,672,2774,1661,1113,2297,1506,791,2.62,0.797469762,-0.145438915,-0.089035643,-0.663932542,-0.487731647,-0.203741034,-0.014379625,-0.631818284,-0.817611505,-0.163302098,-0.179204417,0.179204417,1.841965471,-0.946532845,-0.076248367,-2.287344942,2.287344942,49.13411124,0.032625572
17,G1700310440201,2011-2015,Illinois,17,Cook County,31,440201,"Census Tract 4402.01, Cook County, Illinois",101,2190,3088,5278,3280,2862,557,-0.50639333,2347,1126,1221,3946,2544,1402,2946,2347,599,2.25,-1.00773861,-0.466850976,-0.686594065,-0.325984062,-0.636926858,-0.464944869,-0.321374141,-0.587248666,-0.805066931,-0.469998192,-0.616447518,0.616447518,1.681295271,-1.003416584,-0.215688732,-0.72249863,0.72249863,47.8754546,0.020398575
18,G1700310252202,2011-2015,Illinois,17,Cook County,31,252202,"Census Tract 2522.02, Cook County, Illinois",100,2302,2781,5083,2790,2061,297,-0.947138383,1500,1102,398,3534,1704,1830,1817,1500,317,3.35,1.07953357,0.958541642,-0.686594065,-0.427020205,-0.386737966,0.168212581,0.984845126,-0.222700955,-0.905321635,0.463027691,0.889231437,-0.889231437,2.356,-0.847420412,0.39708664,-0.402250684,0.402250684,41.35796798,0.027571979
19,G1700310710200,2011-2015,Illinois,17,Cook County,31,710200,"Census Tract 7102, Cook County, Illinois",100,2408,2989,5397,3250,2665,232,-0.947779384,1927,1228,699,3857,2177,1680,2293,1927,366,2.8,0.416683621,0.134049833,-0.686594065,-0.312048042,-0.867988159,-0.131815808,0.249846811,-0.201525093,-1.103172277,-0.018236485,0.313867953,-0.313867953,2.001556824,-0.866191168,0.054425315,-0.237515394,0.237515394,43.40717013,0.022525776
20,G1700310842100,2011-2015,Illinois,17,Cook County,31,842100,"Census Tract 8421, Cook County, Illinois",100,3634,3477,7111,4199,3217,431,-0.783532191,2140,1544,596,5267,3179,2088,2329,2140,189,3.32,0.980811237,0.637129581,-0.686594065,-0.629092492,-0.652228931,0.340262685,0.428572133,0.082178194,-0.896648782,0.409191445,0.811430733,-0.811430733,2.461214953,0.199825948,0.156658706,0.633090415,-0.633090415,29.9561731,0.013998212
21,G1700310010100,2011-2015,Illinois,17,Cook County,31,10100,"Census Tract 101, Cook County, Illinois",99,1891,2215,4106,2994,2797,1181,-0.664984629,2208,793,1415,3437,2614,823,2625,2208,417,1.8,-1.34621518,-1.151598411,-0.686594065,-0.43050421,-0.262026072,-0.545647142,-1.079832551,-0.47562754,-0.046484485,-0.788603641,-1.328885618,1.328885618,1.556612319,-0.703967462,-0.436752211,-0.229093102,0.229093102,39.29021422,0.017794481
22,G1700310680900,2011-2015,Illinois,17,Cook County,31,680900,"Census Tract 6809, Cook County, Illinois",99,1404,1785,3189,2046,1480,115,-1.360848257,1503,686,817,2444,1236,1208,2151,1503,648,2.1,-0.711571612,-0.732365288,1.106081201,-1.183049279,-0.993465156,-0.463865353,-0.632223586,-1.140851653,-1.215043523,-0.574014064,-0.754317995,0.754317995,1.626081171,-1.78719182,-0.012591253,-1.80905599,1.80905599,55.20762626,0.036731621
